Inquiry Type,Customer Type,Conversation History,Response,Sentiment,Timestamp,Channel
Fraud Reporting,Business Client,I think there's a fraudulent charge on my card. | I'm sorry to hear that. Can you provide the details?,Thank you for the information. We will investigate this immediately.,Neutral,2023-02-11T09:19:43,Phone
Account Inquiry,Prospective Customer,"Hi, I need help with my account. | Sure, what do you need? | Can you check my balance?","Of course! Your current balance is $10,000.",Neutral,2022-12-07T09:19:43,Phone
Credit Card Application,Business Client,I want to apply for a credit card. | Certainly! What type of card are you interested in?,You can apply online or visit our branch.,Neutral,2022-11-15T09:19:43,Phone
Loan Eligibility,Business Client,Can I apply for a loan? | Of course! What type of loan are you looking for?,"You are eligible for a loan of up to $50,000.",Positive,2023-02-03T09:19:43,Phone
Loan Eligibility,Business Client,Can I apply for a loan? | Of course! What type of loan are you looking for?,"You are eligible for a loan of up to $50,000.",Negative,2022-10-21T09:19:43,Phone
Fraud Reporting,Existing Customer,I think there's a fraudulent charge on my card. | I'm sorry to hear that. Can you provide the details?,Thank you for the information. We will investigate this immediately.,Negative,2023-07-01T09:19:43,Email
Investment Options,Business Client,"I want to know about investment options. | Certainly! Are you interested in stocks, bonds, or mutual funds?","We offer a range of investment options including stocks, bonds, and mutual funds.",Negative,2022-10-10T09:19:43,Email
Investment Options,Existing Customer,"I want to know about investment options. | Certainly! Are you interested in stocks, bonds, or mutual funds?","We offer a range of investment options including stocks, bonds, and mutual funds.",Neutral,2023-01-06T09:19:43,Phone
Investment Options,Prospective Customer,"I want to know about investment options. | Certainly! Are you interested in stocks, bonds, or mutual funds?","We offer a range of investment options including stocks, bonds, and mutual funds.",Negative,2023-07-31T09:19:43,Phone
Account Inquiry,Existing Customer,"Hi, I need help with my account. | Sure, what do you need? | Can you check my balance?","Of course! Your current balance is $10,000.",Neutral,2023-04-07T09:19:43,Email
Fraud Reporting,Prospective Customer,I think there's a fraudulent charge on my card. | I'm sorry to hear that. Can you provide the details?,Thank you for the information. We will investigate this immediately.,Negative,2022-08-14T09:19:43,Chat
Credit Card Application,Business Client,I want to apply for a credit card. | Certainly! What type of card are you interested in?,You can apply online or visit our branch.,Negative,2022-11-09T09:19:43,Email
Account Inquiry,Prospective Customer,"Hi, I need help with my account. | Sure, what do you need? | Can you check my balance?","Of course! Your current balance is $10,000.",Negative,2023-07-05T09:19:43,Phone
